year,team_id,team_name,wins,losses,ties,total_games
2007,929,Adams St.,5,12,1,18
2007,3,Adelphi,12,1,6,19
2007,4,Adrian,5,13,1,19
2007,11324,Agnes Scott,11,8,0,19
2007,721,Air Force,3,12,4,19
2007,5,Akron,11,7,0,18
2007,10,Ala.-Huntsville,9,6,1,16
2007,8,Alabama,5,14,0,19
2007,6,Alabama A&M,14,5,0,19
2007,7,Alabama St.,2,12,0,14
2007,14,Albany (NY),5,13,1,19
2007,2798,Albertus Magnus,1,14,0,15
2007,15,Albion,12,4,3,19
2007,16,Albright,8,7,3,18
2007,17,Alcorn,1,13,0,14
2007,18,Alfred,3,13,1,17
2007,19,Allegheny,10,7,1,18
2007,21,Alma,4,11,2,17
2007,938,Alvernia,7,7,2,16
2007,28746,Alverno,4,13,1,18
2007,23,American,9,7,2,18
2007,22,American Int'l,1,15,1,17
2007,24,Amherst,15,2,2,19
2007,939,Anderson (IN),5,10,1,16
2007,13028,Anderson (SC),5,12,0,17
2007,25,Angelo St.,12,6,1,19
2007,26,Anna Maria,7,12,0,19
2007,27,Appalachian St.,9,9,1,19
2007,966,Arcadia,8,8,3,19
2007,29,Arizona,8,10,2,20
2007,28,Arizona St.,8,8,3,19
2007,2678,Ark.-Pine Bluff,1,15,0,16
2007,31,Arkansas,10,7,2,19
2007,30,Arkansas St.,1,17,1,19
2007,33,Armstrong,18,4,1,23
2007,725,Army West Point,4,12,2,18
2007,35,Ashland,7,9,2,18
2007,36,Assumption,5,7,4,16
2007,37,Auburn,11,6,3,20
2007,38,Augsburg,10,6,2,18
2007,40,Augustana (IL),15,3,3,21
2007,41,Augustana (SD),5,12,1,18
2007,42,Aurora,17,4,2,23
2007,953,Austin,10,8,1,19
2007,43,Austin Peay,6,10,3,19
2007,44,Averett,10,8,1,19
2007,45,Babson,9,4,6,19
2007,46,Baldwin Wallace,10,8,0,18
2007,47,Ball St.,13,4,3,20
2007,962,Bard,10,5,2,17
2007,49,Barry,13,18,3,34
