rk,team,div,str,ofs,dfs,sos
1,Florida St.,D1,0.911,0.475,-0.436,0.144
2,West Virginia,D1,0.881,0.382,-0.499,0.099
3,Virginia,D1,0.829,0.497,-0.332,0.125
4,North Carolina,D1,0.806,0.356,-0.449,0.099
5,Penn St.,D1,0.757,0.412,-0.346,0.193
6,Notre Dame,D1,0.736,0.250,-0.485,0.144
7,BYU,D1,0.693,0.221,-0.473,0.125
8,California,D1,0.671,0.257,-0.414,0.180
9,Rutgers,D1,0.661,0.128,-0.533,0.100
10,Oklahoma,D1,0.640,0.288,-0.352,0.110
11,South Fla.,D1,0.639,0.212,-0.426,0.094
12,Duke,D1,0.629,0.244,-0.385,0.188
13,Arizona,D1,0.628,0.289,-0.340,0.141
14,Santa Clara,D1,0.624,0.271,-0.354,0.196
15,DePaul,D1,0.614,0.233,-0.382,0.012
16,Stanford,D1,0.611,0.258,-0.353,0.192
17,Minnesota,D1,0.593,0.214,-0.379,0.077
18,Florida,D1,0.580,0.435,-0.145,0.143
19,Virginia Tech,D1,0.577,0.396,-0.181,0.127
20,South Carolina,D1,0.556,0.349,-0.207,0.091
21,William & Mary,D1,0.556,0.300,-0.256,0.083
22,Southern California,D1,0.552,0.196,-0.356,0.174
23,Texas A&M,D1,0.548,0.333,-0.214,0.090
24,Tennessee,D1,0.547,0.123,-0.424,0.048
25,St. John's (NY),D1,0.543,0.125,-0.418,0.010
26,Clemson,D1,0.538,0.218,-0.320,0.133
27,San Diego St.,D1,0.534,0.315,-0.219,0.103
28,North Texas,D1,0.532,0.112,-0.420,0.014
29,Kentucky,D1,0.529,0.270,-0.259,0.083
30,Washington,D1,0.495,0.236,-0.259,0.116
31,Long Beach St.,D1,0.493,0.055,-0.438,0.118
32,Dartmouth,D1,0.483,0.217,-0.266,-0.031
33,TCU,D1,0.480,0.277,-0.203,0.089
34,Auburn,D1,0.476,0.231,-0.245,0.094
35,Cal Poly,D1,0.469,0.211,-0.258,0.120
36,Michigan,D1,0.459,0.278,-0.182,0.102
37,San Francisco,D1,0.452,0.067,-0.385,0.058
38,Texas Tech,D1,0.449,0.100,-0.349,0.137
39,UConn,D1,0.448,0.251,-0.197,0.086
40,Boston College,D1,0.445,0.279,-0.166,0.103
41,Temple,D1,0.441,0.258,-0.184,0.018
42,FGCU,D1,0.423,0.121,-0.302,0.066
43,Hofstra,D1,0.421,0.334,-0.087,0.087
44,Tulsa,D1,0.409,0.072,-0.337,-0.040
45,Cornell,D1,0.404,-0.110,-0.514,-0.081
46,Baylor,D1,0.395,0.177,-0.218,-0.002
47,Northwestern,D1,0.392,0.039,-0.353,0.104
48,Washington St.,D1,0.390,0.242,-0.148,0.077
49,Arizona St.,D1,0.384,0.270,-0.115,0.109
50,LSU,D1,0.383,0.285,-0.098,0.085
51,UC Davis,D1,0.383,-0.061,-0.444,0.031
52,Illinois,D1,0.377,0.213,-0.164,0.100
53,South Ala.,D1,0.374,0.255,-0.120,0.040
54,Nebraska,D1,0.369,0.210,-0.159,0.197
55,Ohio St.,D1,0.364,0.158,-0.206,0.118
56,Oklahoma St.,D1,0.364,0.200,-0.163,0.120
57,Cal St. Fullerton,D1,0.351,0.282,-0.069,0.063
58,Michigan St.,D1,0.350,0.083,-0.267,0.126
59,Kansas,D1,0.348,0.148,-0.200,0.104
60,Ole Miss,D1,0.323,0.268,-0.055,0.088
61,Georgetown,D1,0.318,0.252,-0.067,0.079
62,Missouri,D1,0.316,0.054,-0.262,0.133
63,Cincinnati,D1,0.315,0.083,-0.232,0.065
64,Samford,D1,0.313,0.199,-0.114,0.020
65,James Madison,D1,0.310,0.187,-0.123,0.051
66,Marshall,D1,0.297,0.007,-0.290,-0.005
67,Maryland,D1,0.285,0.020,-0.265,0.133
68,Arkansas,D1,0.282,0.208,-0.074,0.112
69,Oregon St.,D1,0.282,-0.033,-0.315,0.118
70,UC Riverside,D1,0.279,0.048,-0.230,0.040
71,Ball St.,D1,0.277,0.141,-0.136,-0.031
72,Western Mich.,D1,0.271,0.093,-0.178,-0.009
73,Colorado,D1,0.256,0.074,-0.182,0.038
74,Loyola Marymount,D1,0.255,0.175,-0.080,0.075
75,Northeastern,D1,0.251,0.160,-0.091,0.070
76,Wake Forest,D1,0.250,0.052,-0.198,0.123
77,Lipscomb,D1,0.243,0.033,-0.210,-0.044
78,UCF,D1,0.242,0.158,-0.083,0.135
79,Pittsburgh,D1,0.241,0.108,-0.133,-0.015
80,Southeastern La.,D1,0.240,0.142,-0.099,-0.127
81,Fordham,D1,0.237,-0.002,-0.239,-0.048
82,Princeton,D1,0.237,0.233,-0.004,0.032
83,Troy,D1,0.235,0.048,-0.187,-0.031
84,Elon,D1,0.233,0.027,-0.206,-0.060
85,UCLA,D1,0.232,0.153,-0.079,0.159
86,High Point,D1,0.225,-0.037,-0.261,-0.050
87,UNCW,D1,0.223,0.208,-0.015,0.074
88,Miami (OH),D1,0.221,0.033,-0.188,-0.004
89,Vanderbilt,D1,0.216,0.086,-0.129,0.120
90,CSUN,D1,0.210,0.159,-0.051,0.034
91,Purdue,D1,0.204,0.215,0.011,0.075
92,Wisconsin,D1,0.203,0.003,-0.200,0.102
93,Syracuse,D1,0.202,0.122,-0.081,0.132
94,Texas,D1,0.199,-0.056,-0.255,0.145
95,San Diego,D1,0.199,0.133,-0.066,0.124
96,Saint Louis,D1,0.192,0.179,-0.013,-0.015
97,Hartford,D1,0.190,-0.044,-0.234,-0.130
98,Boston U.,D1,0.188,0.095,-0.093,0.051
99,Louisiana Tech,D1,0.185,0.012,-0.173,-0.125
100,Monmouth,D1,0.184,0.132,-0.053,-0.088
101,Harvard,D1,0.177,0.004,-0.172,0.084
102,St. Mary's (CA),D1,0.177,-0.049,-0.226,0.045
103,Utah,D1,0.176,0.103,-0.074,0.114
104,UALR,D1,0.176,0.003,-0.173,-0.020
105,UC Santa Barbara,D1,0.174,0.060,-0.114,-0.021
106,Miami (FL),D1,0.170,0.177,0.007,0.111
107,Marquette,D1,0.165,0.146,-0.019,0.086
108,Seattle,D1,0.163,-0.012,-0.174,0.010
109,Utah St.,D1,0.161,0.027,-0.134,0.026
110,Kent St.,D1,0.160,0.172,0.012,-0.038
111,Louisville,D1,0.155,-0.060,-0.215,0.066
112,Butler,D1,0.152,0.084,-0.068,-0.015
113,Messiah,D3,0.151,0.083,-0.067,-0.330
114,Pepperdine,D1,0.149,-0.050,-0.199,0.097
115,Minn. St. Mankato,D2,0.146,0.118,-0.028,-0.300
116,Saint Joseph's,D1,0.145,0.138,-0.007,0.007
117,Northern Ky.,D1,0.142,0.079,-0.063,-0.143
118,Dayton,D1,0.141,0.183,0.041,0.106
119,Manhattan,D1,0.134,-0.021,-0.155,-0.124
120,VCU,D1,0.130,0.046,-0.084,0.030
121,Lehigh,D1,0.128,0.050,-0.078,-0.039
122,George Washington,D1,0.115,0.058,-0.057,0.010
123,Grand Valley St.,D2,0.108,0.160,0.052,-0.262
124,San Jose St.,D1,0.100,0.076,-0.024,0.036
125,Central Conn. St.,D1,0.099,0.043,-0.057,-0.023
126,George Mason,D1,0.099,0.105,0.006,-0.004
127,Mercer,D1,0.096,-0.031,-0.126,-0.024
128,Penn,D1,0.094,-0.056,-0.150,0.024
129,Fla. Atlantic,D1,0.093,0.010,-0.084,0.008
130,Central Mo.,D2,0.093,0.094,0.001,-0.291
131,Idaho,D1,0.092,0.016,-0.076,-0.068
132,Western Caro.,D1,0.092,0.009,-0.083,-0.066
133,Albany (NY),D1,0.085,0.060,-0.025,-0.047
134,Central Mich.,D1,0.084,-0.009,-0.093,0.050
135,Rice,D1,0.077,0.150,0.073,0.038
136,Coastal Caro.,D1,0.077,0.041,-0.036,0.012
137,Providence,D1,0.075,0.014,-0.061,0.018
138,Northern Ariz.,D1,0.074,0.079,0.005,-0.061
139,East Carolina,D1,0.074,-0.077,-0.151,0.063
140,Wyoming,D1,0.073,-0.100,-0.172,-0.078
141,Drexel,D1,0.070,0.078,0.008,0.027
142,Appalachian St.,D1,0.069,0.038,-0.030,0.028
143,UMKC,D1,0.068,-0.092,-0.159,-0.079
144,Memphis,D1,0.068,-0.033,-0.101,0.037
145,Iowa,D1,0.066,0.020,-0.046,0.026
146,North Dakota St.,D1,0.062,0.096,0.034,-0.014
147,UTEP,D1,0.055,0.072,0.017,-0.042
148,Iowa St.,D1,0.052,0.033,-0.019,0.071
149,Oral Roberts,D1,0.052,0.041,-0.010,-0.009
150,Milwaukee,D1,0.050,0.034,-0.016,-0.103
151,Delaware,D1,0.049,0.097,0.048,0.053
152,Wright St.,D1,0.049,-0.090,-0.139,-0.025
153,Portland,D1,0.047,0.062,0.015,0.116
154,Buffalo,D1,0.046,-0.157,-0.203,-0.029
155,SMU,D1,0.046,0.140,0.093,0.057
156,Gonzaga,D1,0.045,0.006,-0.039,0.098
157,New Hampshire,D1,0.044,-0.053,-0.097,-0.028
158,Alabama,D1,0.042,-0.097,-0.139,0.071
159,Col. of Charleston,D1,0.041,-0.014,-0.056,-0.019
160,Davidson,D1,0.041,0.074,0.033,-0.010
161,Utah Valley,D1,0.037,0.106,0.069,-0.059
162,Longwood,D1,0.032,-0.101,-0.134,-0.022
163,Furman,D1,0.027,-0.088,-0.115,-0.038
164,La Salle,D1,0.025,-0.062,-0.087,0.061
165,Georgia,D1,0.025,0.036,0.011,0.176
166,Rider,D1,0.025,-0.050,-0.074,-0.125
167,Mississippi St.,D1,0.021,-0.055,-0.076,0.100
168,SIUE,D1,0.020,-0.309,-0.329,-0.071
169,Towson,D1,0.019,-0.100,-0.119,-0.044
170,Old Dominion,D1,0.015,-0.019,-0.034,0.060
171,Navy,D1,0.013,0.151,0.138,-0.033
172,Colgate,D1,0.012,0.005,-0.008,0.093
173,Middle Tenn.,D1,0.010,-0.146,-0.156,-0.013
174,Eastern Wash.,D1,0.008,0.022,0.014,-0.077
175,Fairleigh Dickinson,D1,0.008,0.142,0.134,-0.012
176,Indiana,D1,0.007,-0.113,-0.120,0.145
177,Oregon,D1,0.007,-0.194,-0.201,0.039
178,Duquesne,D1,0.001,0.060,0.059,0.021
179,Creighton,D1,-0.001,0.095,0.096,-0.038
180,North Carolina St.,D1,-0.001,-0.089,-0.088,0.085
181,Charlotte,D1,-0.003,0.200,0.204,0.025
182,New Mexico,D1,-0.004,-0.057,-0.052,0.059
183,Bucknell,D1,-0.012,-0.017,-0.005,-0.034
184,Ga. Southern,D1,-0.017,0.113,0.130,-0.054
185,Valparaiso,D1,-0.017,0.107,0.124,-0.005
186,Richmond,D1,-0.021,0.005,0.026,0.052
187,Mo.-St. Louis,D2,-0.023,0.024,0.047,-0.297
188,Campbell,D1,-0.025,0.022,0.046,-0.020
189,Liberty,D1,-0.028,-0.069,-0.041,0.028
190,Oakland,D1,-0.039,0.045,0.083,0.005
191,Belmont Abbey,D2,-0.041,-0.091,-0.050,-0.300
192,South Dakota St.,D1,-0.044,-0.121,-0.077,-0.029
193,Niagara,D1,-0.050,-0.009,0.041,-0.089
194,FIU,D1,-0.050,0.009,0.059,0.057
195,East Tenn. St.,D1,-0.053,0.114,0.167,-0.068
196,Central Ark.,D1,-0.056,-0.025,0.032,-0.043
197,Murray St.,D1,-0.056,0.069,0.125,-0.011
198,Georgia St.,D1,-0.058,-0.024,0.033,-0.125
199,Maine,D1,-0.060,-0.066,-0.006,-0.030
200,Texas St.,D1,-0.060,0.018,0.078,-0.081
201,Bellarmine,D2,-0.062,-0.245,-0.184,-0.287
202,TCNJ,D3,-0.064,-0.153,-0.089,-0.356
203,Swarthmore,D3,-0.065,-0.021,0.045,-0.496
204,Columbia,D1,-0.065,-0.134,-0.068,0.002
205,North Georgia,D2,-0.070,-0.073,-0.003,-0.292
206,Western Ky.,D1,-0.071,-0.054,0.018,0.008
207,Illinois St.,D1,-0.074,-0.004,0.071,0.069
208,Houston,D1,-0.075,0.005,0.080,0.014
209,Xavier,D1,-0.080,0.004,0.085,-0.019
210,Sam Houston St.,D1,-0.080,-0.158,-0.078,-0.051
211,Massachusetts,D1,-0.084,-0.105,-0.021,0.010
212,La.-Lafayette,D1,-0.085,-0.126,-0.040,-0.065
213,Bowling Green,D1,-0.087,-0.058,0.029,-0.111
214,Austin Peay,D1,-0.092,0.070,0.161,-0.096
215,Tennessee Tech,D1,-0.092,-0.163,-0.071,-0.055
216,McNeese St.,D1,-0.098,-0.072,0.026,-0.029
217,Missouri St.,D1,-0.100,-0.009,0.091,-0.031
218,Loyola Chicago,D1,-0.101,-0.065,0.036,-0.025
219,Boise St.,D1,-0.102,-0.096,0.006,0.059
220,Adelphi,D2,-0.104,-0.029,0.076,-0.216
221,Quincy,D2,-0.106,-0.033,0.073,-0.211
