year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	error	exempted	team_won	score	team_score	opponent_score	overtime	overtime_periods	game_id	game_url
2012	10640	413	Metro St.	09/02/2011	Upper Iowa	728	Upper Iowa	http://stats.ncaa.org/team/index/10640?org_id=728	false		true	W 3 - 2	false	false	true	3 - 2	3	2	false		269094	http://stats.ncaa.org/game/index/269094?org_id=413
2012	10640	413	Metro St.	09/04/2011	McPherson		McPherson		false		true	W 6 - 1	false	false	true	6 - 1	6	1	false		270193	http://stats.ncaa.org/game/index/270193?org_id=413
2012	10640	413	Metro St.	09/09/2011	Minn. St. Mankato	383	Minn. St. Mankato	http://stats.ncaa.org/team/index/10640?org_id=383	false		true	W 2 - 1	false	false	true	2 - 1	2	1	false		293951	http://stats.ncaa.org/game/index/293951?org_id=413
2012	10640	413	Metro St.	09/11/2011	Winona St.	790	Winona St.	http://stats.ncaa.org/team/index/10640?org_id=790	false		true	W 1 - 0	false	false	true	1 - 0	1	0	false		297950	http://stats.ncaa.org/game/index/297950?org_id=413
2012	10640	413	Metro St.	09/16/2011	Adams St.	929	Adams St.	http://stats.ncaa.org/team/index/10640?org_id=929	false		true	W 5 - 1	false	false	true	5 - 1	5	1	false		330371	http://stats.ncaa.org/game/index/330371?org_id=413
2012	10640	413	Metro St.	09/18/2011	N.M. Highlands	8577	N.M. Highlands	http://stats.ncaa.org/team/index/10640?org_id=8577	false		true	W 1 - 0	false	false	true	1 - 0	1	0	false		329954	http://stats.ncaa.org/game/index/329954?org_id=8577
2012	10640	413	Metro St.	09/21/2011	@ Regis (CO)	568	Regis (CO)	http://stats.ncaa.org/team/index/10640?org_id=568	false		false	L 1 - 2	false	false	false	1 - 2	1	2	false		344731	http://stats.ncaa.org/game/index/344731?org_id=568
2012	10640	413	Metro St.	09/23/2011	@ Colorado Mines	155	Colorado Mines	http://stats.ncaa.org/team/index/10640?org_id=155	false		false	W 1 - 0 (2OT)	false	false	true	1 - 0	1	0	true	2OT	359370	http://stats.ncaa.org/game/index/359370?org_id=413
2012	10640	413	Metro St.	09/25/2011	@ Colo. Christian	11403	Colo. Christian	http://stats.ncaa.org/team/index/10640?org_id=11403	false		false	W 2 - 1	false	false	true	2 - 1	2	1	false		359192	http://stats.ncaa.org/game/index/359192?org_id=11403
2012	10640	413	Metro St.	10/02/2011	Neb.-Kearney	1156	Neb.-Kearney	http://stats.ncaa.org/team/index/10640?org_id=1156	false		true	W 6 - 1	false	false	true	6 - 1	6	1	false		393650	http://stats.ncaa.org/game/index/393650?org_id=413
